Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PIH,1347 Property Insurance Holdings; Inc.,7.1,42293038.6,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,2.03,63176770.86,n/a,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,1-800 FLOWERS.COM; Inc.,9.15,590954616.6,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),17.65,142427734,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,48.03,1245712324,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,21Vianet Group; Inc.,7.29,435153462.6,59691833,2011,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/vnet
TWOU,2U; Inc.,63.5,3316118781,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,51job; Inc.,63.81,2347785004,36793371,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,15.17,1199718464,n/a,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,13.55,1245956660,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,A V Homes; Inc.,16.7,375010006.3,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,A. Schulman; Inc.,37.25,1098871461,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,AAON; Inc.,33.75,1775372243,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,ABAXIS; Inc.,46.46,1054206530,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,15.25,711599449.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,10.4,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.6499,16738916.69,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,ABIOMED; Inc.,195.09,8626127728,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABLX,Ablynx NV,20.87,274325715,13144500,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx
AXAS,Abraxas Petroleum Corporation,2.09,346626293.1,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,11.55,657451895.1,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,Acacia Communications; Inc.,36.14,1417704438,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,4.025,203684247.6,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,Acadia Healthcare Company; Inc.,28.23,2480107100,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,28.59,3499424749,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,Acasti Pharma; Inc.,1.31,19304077.47,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,Accelerate Diagnostics; Inc.,18.75,1038704306,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,Accelerated Pharma; Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,35.08,1575137218,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,27.09,553902132.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,4.6,386026148.8,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,AcelRx Pharmaceuticals; Inc.,2,90760946,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,17.51,12947664.44,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer
ACERW,Acer Therapeutics Inc.,0.033,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw
ACET,Aceto Corporation,9.01,276077698.5,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,Achaogen; Inc.,13.285,561069456.9,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHV,Achieve Life Sciences; Inc. ,1.39,15673324.47,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv
ACHN,Achillion Pharmaceuticals; Inc.,3.885,531692288.8,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,ACI Worldwide; Inc.,23.33,2766453296,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,Aclaris Therapeutics; Inc.,23.23,621089289.9,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACMR,ACM Research; Inc.,5.64,85233281.76,n/a,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,28.0333,196660860.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,Acorda Therapeutics; Inc.,27.85,1299221967,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
SQZZ,Active Alts Contrarian ETF,25,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz
ATVI,Activision Blizzard; Inc,63.01,47641826660,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,15.5,508400000,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACXM,Acxiom Corporation,26.42,2090796449,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,Adamas Pharmaceuticals; Inc.,27.76,624990749.8,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,4.775,149702619.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,8.1,473355608.4,58438964,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,32.55,378378646.8,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
